Animal Lovers Pet Shop,James Long Sarani Behala,Near Sri Sangha Club Behala,9606197574,4.3,441,Open 24 Hrs,700034,https://images.jdmagicbox.com/comp/kolkata/r8/033pxx33.xx33.200731182510.n6r8/catalogue/animal-lovers-pet-shop-behala-kolkata-pet-accessory-dealers-d7eo4owy6q-250.jpg?clr=#522914
Kolkata Dog House,Birati,Near Saktighar Birati,9911320017,4.6,83,Open 24 Hrs,700051,https://images.jdmagicbox.com/comp/kolkata/i7/033pxx33.xx33.201005220533.n1i7/catalogue/kolkata-dog-house-birati-kolkata-dog-creche-0widuh3el0-250.jpg?clr=#1b4b3b
Life Is Beautiful,Jogendra Basak Sarat Kanan Pally,Sarat Kanan Pally,9910502812,4.3,3,9:00 am - 5:00 pm,700036,https://images.jdmagicbox.com/comp/def_content/pet-adoption-centres/screenshot-pet-adoption-centres-9-bu8vm-250.jpg
Adrija Travels,Neogipara Ariadaha Baranagar,Baranagar,9403027003,4,3,10:00 am - 8:00 pm,700036,https://images.jdmagicbox.com/comp/kolkata/n1/033pxx33.xx33.190128160159.z8n1/catalogue/pets-zone-baranagar-kolkata-pet-adoption-centres-vpzbdeeynt-250.jpg?clr=#404026
Sandy's Pet Care Solution,Charan Rakshit Road Chandannagar,Near Church Marvel House Chandannagar,9682873495,4.2,112,9:00 am - 10:00 pm,712136,https://images.jdmagicbox.com/comp/hooghly/z5/9999pxx33.xx33.190513143337.u3z5/catalogue/sandy-s-pet-care-clinic-hooghly-1d8b0v0mbo-250.jpg?clr=#28333e
Ma Monosa Nursuray,Maslandapur Maslandapur,Maslandapur,9655284292,4.7,69,7:00 am - 10:00 pm,743289,https://images.jdmagicbox.com/comp/def_content/pet-adoption-centres/6-pet-pet-adoption-centres-6-uszx7-250.jpg
Sk Pet Paradise,Cossimbazar Raj,Cossimbazar Raj,9321068858,4.4,14,Open 24 Hrs,742102,https://images.jdmagicbox.com/comp/murshidabad/c4/9999p3482.3482.220313202255.u8c4/catalogue/sk-pet-paradise-cossimbazar-raj-murshidabad-pet-adoption-centres-hfhq3ac5wt-250.jpg
Hobby House,Debashish Ghatak Sarani Asansol,Opposite Vivekananda School Asansol,9645603036,4.2,10,Open 24 Hrs,713304,https://images.jdmagicbox.com/comp/asansol/p1/9999px341.x341.161004194009.c1p1/catalogue/hobby-house-asansol-asansol-dog-training-centres-ys208-250.jpg
Jharkhand TATA Pet World,9/C Road Kadma,Near Arogya Bhawan Kadma,9690101166,3.5,102,Open 24 Hrs,831005,https://images.jdmagicbox.com/comp/jamshedpur/m4/0657px657.x657.180217042038.p5m4/catalogue/jharkhand-tata-pet-world-kadma-jamshedpur-pet-adoption-centres-gusufmxhfw-250.jpg
Doggy Shoggy,Uliyan Kadma Kadma,Vijaya Heritage Kadma,9885162785,4.4,114,Open 24 Hrs,831005,https://images.jdmagicbox.com/comp/jamshedpur/n1/0657px657.x657.190721013212.v3n1/catalogue/doggy-shoggy-jamshedpur-jamshedpur-pet-ambulance-services-0645vfxd7l-250.jpg?clr=#5727f
Shri Vetcare,Durga Mandir Road Hirapur,Near Madhav Apartment Hirapur,9086345615,4.1,192,9:00 am - 10:00 pm,826001,https://images.jdmagicbox.com/comp/dhanbad/dc/9999px326.x326.131115122156.f8p1dc/catalogue/shri-vetcare-dhanbad-hirapur-dhanbad-veterinary-doctors-3bh1hs2-250.jpg
Royal Dogs (Quality Puppy),Jhanda Chowk Road Ramgarh Cantt,Ramgarh Cantt,9776779857,4,2,4:30 pm - 9:00 pm,829122,https://images.jdmagicbox.com/v2/comp/ramgarh-jharkhand/l8/9999p6553.6553.231119000807.i3l8/catalogue/royal-dogs-quality-puppy-ramgarh-cantt-ramgarh-jharkhand-pet-adoption-centres-h99a8jwm89-250.jpg
Abhi Raj Kennel & Dog Hostel,Lower Hatia Hatia,Om Shanti Nagar Hatia,9819466380,3.7,111,9:30 am - 8:30 pm,834003,https://images.jdmagicbox.com/comp/ranchi/z5/0651px651.x651.160705201516.z5z5/catalogue/abhi-raj-kennel-and-dog-hostel-hatia-ranchi-kennel-service-pn2zq78w13-250.jpg?clr=#444422
Pets N Vets,Kathal More,Kathal More,9941522961,4.4,16,10:00 am - 8:00 pm,835301,https://images.jdmagicbox.com/comp/ranchi/g4/0651px651.x651.180508125659.y6g4/catalogue/pets-n-vets-ranchi-myao6bsejk-250.jpg?clr=#333333
